,date,headlines,content,images
0,2024-12-10T05:00:18.754Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/fac060e0-4778-4ea6-a040-12bb7bf75806"">Brussels probes Google and Meta secret ads deal to target teens</a>",,
1,2024-12-07T12:00:33.004Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/68828793-2978-4fc7-9f00-df2ca4e8b2b0"">Meta rolls out internal AI tool as it pushes into business market</a>",,
2,2024-12-04T12:12:37.239Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/f390bf57-d3bd-4462-a722-cd1b755589a3"">Polish billionaire seeks support for ‘deepfake’ scams lawsuit against Meta</a>",,
3,2024-12-03T13:00:57.825Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/69f86be5-ecdd-4222-92aa-3df0a8db213c"">Meta’s Zuckerberg seeks ‘active role’ in Trump tech policies</a>",,
4,2024-11-23T13:00:00.851Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/e1b52147-c171-4902-8bce-204ba0905912"">Meta loses ground to Bluesky as users abandon Elon Musk’s X </a>",,
5,,,,
6,2024-11-14T13:31:55.749Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/8dc18484-ee7d-4008-95dc-cc76320441ab"">Meta fined nearly €800mn for breaking EU law over classified ads practices</a>",,
7,2024-11-11T13:13:46.127Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/a841fd92-35e7-46bd-81da-2be3ed23e932"">How weight loss drugs took over Instagram</a>",,
8,2024-11-04T11:00:01.195Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/ed602e09-6c40-4979-aff9-7453ee28406a"">Meta’s plan for nuclear-powered AI data centre thwarted by rare bees</a>",,
9,2024-11-01T14:40:39.216Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/dc5b40cb-e446-4e2b-9faf-2d54720b33d8"">Wall Street frets over Big Tech’s $200bn AI spending splurge</a>",,
10,,,,
11,2024-11-01T09:31:56.292Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/10a92439-14bb-4080-b47e-2b21038f0c86"">Silicon Valley super-spenders leave too much in the cloud</a>",,
12,2024-11-01T05:00:08.991Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/17bbc42c-543c-4535-9dbf-744b9010f7e4"">EssilorLuxottica bets on glasses replacing smartphones as value hits €100bn </a>",,
13,,,,
14,2024-10-31T16:24:55.402Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/8ae0eea7-a4bd-4f5c-b448-c44899dfa243"">Meta sees AI spending accelerating as earnings top forecasts</a>",,
15,2024-10-30T23:36:35.935Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/e9d2c364-d059-4d29-83fd-6893505ea324"">Meta and Microsoft pass their quarterly sanity-check</a>",,
16,2024-10-28T21:00:02.117Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/49b718f1-75c9-452e-b073-66f04fbbae9d"">Evan Spiegel battles to revive Snap’s fortunes</a>",,
17,2024-10-24T04:00:57.856Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/8d01fdfd-4a70-43a3-8d4a-248b543b2cde"">Meet Joelle Pineau: shaping AI as the world grapples with its potential</a>",,
18,2024-10-17T04:00:24.437Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/397c50d8-8796-4042-a814-0ac2c068361f"">Meta under fire for ‘polluting’ open-source</a>",,
19,,,,
20,2024-10-17T01:37:57.541Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/7d1a2738-2518-4ddb-811b-8abf9a745590"">Meta fires staff for abusing $25 meal credits</a>",,
21,2024-10-04T13:00:34.582Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/00c9ce12-68f7-4fdd-a35f-8a66cc63420d"">Meta debuts AI filmmaker in challenge to OpenAI’s Sora</a>",,
22,2024-10-04T05:38:14.382Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/e7ec3638-cf3c-4aab-9812-555dbced5f56"">Can Zuckerberg rise above the US political fray?</a>",,
23,2024-10-03T16:07:16.568Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/409d08c7-24e2-41ec-a758-44c6d68cddbb"">Revolut urges Meta to share cost of reimbursing fraud victims</a>",,
24,2024-10-03T04:00:55.976Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/477fa0d4-fdea-4235-b8af-9cabd64a81f0"">Is nuclear energy the zero-carbon answer to powering AI?</a>",,
25,2024-10-02T08:00:20.027Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/ff5ed0ed-170d-4439-a789-d658936fd5f5"">Meta expands data accord with UK banks in push to cut online fraud </a>",,
26,2024-10-01T04:00:36.154Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/d8571c89-a9ad-4d00-8c5b-5ea4ce15707d"">Alice Newton-Rex: ‘WhatsApp makes people feel confident to be themselves’</a>",,
27,2024-09-25T20:16:04.736Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/29dbf49b-da1d-4dc1-804e-f3ebc6d68e77"">Meta unveils augmented reality glasses prototype ‘Orion’ </a>",,
28,2024-09-18T04:00:49.181Z,"<a class=""js-teaser-heading-link"" data-trackable=""heading-link"" href=""/content/6e126355-eef3-46a8-875c-2480861ba38a"">Meta faces hefty EU antitrust fine over classified ads practices</a>",,
